V1,V2,V3,V4,V5,V7,V8,V9,V10,confirmCode,Condition,Counterbalance,IDInst,FB,Term,Inst_SM,Fake1_SM,Fake1_3,Fake1_RT_1,Fake1_RT_2,Fake1_RT_3,Fake1_RT_4,Fake2_SM,Fake2_3,Fake2_RT_1,Fake2_RT_2,Fake2_RT_3,Fake2_RT_4,Fake3_SM,Fake3_3,Fake3_RT_1,Fake3_RT_2,Fake3_RT_3,Fake3_RT_4,Fake4_SM,Fake4_3,Fake4_RT_1,Fake4_RT_2,Fake4_RT_3,Fake4_RT_4,Fake5_SM,Fake5_3,Fake5_RT_1,Fake5_RT_2,Fake5_RT_3,Fake5_RT_4,Fake6_SM,Fake6_3,Fake6_RT_1,Fake6_RT_2,Fake6_RT_3,Fake6_RT_4,Fake7_SM,Fake7_3,Fake7_RT_1,Fake7_RT_2,Fake7_RT_3,Fake7_RT_4,Fake8_SM,Fake8_3,Fake8_RT_1,Fake8_RT_2,Fake8_RT_3,Fake8_RT_4,Fake9_SM,Fake9_3,Fake9_RT_1,Fake9_RT_2,Fake9_RT_3,Fake9_RT_4,Fake10_SM,Fake10_3,Fake10_RT_1,Fake10_RT_2,Fake10_RT_3,Fake10_RT_4,Fake11_SM,Fake11_3,Fake11_RT_1,Fake11_RT_2,Fake11_RT_3,Fake11_RT_4,Fake12_SM,Fake12_3,Fake12_RT_1,Fake12_RT_2,Fake12_RT_3,Fake12_RT_4,Real1_SM,Real1_3,Real_RT_1,Real_RT_2,Real_RT_3,Real_RT_4,Real2_SM,Real2_3,Real2_RT_1,Real2_RT_2,Real2_RT_3,Real2_RT_4,Real3_SM,Real3_3,Real3_RT_1,Real3_RT_2,Real3_RT_3,Real3_RT_4,Real4_SM,Real4_3,Real4_RT_1,Real4_RT_2,Real4_RT_3,Real4_RT_4,Real5_SM,Real5_3,Real5_RT_1,Real5_RT_2,Real5_RT_3,Real5_RT_4,Real6_SM,Real6_3,Real6_RT_1,Real6_RT_2,Real6_RT_3,Real6_RT_4,Real7_SM,Real7_3,Real7_RT_1,Real7_RT_2,Real7_RT_3,Real7_RT_4,Real8_SM,Real8_3,Real8_RT_1,Real8_RT_2,Real8_RT_3,Real8_RT_4,Real9_SM,Real9_3,Real9_RT_1,Real9_RT_2,Real9_RT_3,Real9_RT_4,Real10_SM,Real10_3,Real10_RT_1,Real10_RT_2,Real10_RT_3,Real10_RT_4,Real11_SM,Real11_3,Real11_RT_1,Real11_RT_2,Real11_RT_3,Real11_RT_4,Real12_SM,Real12_3,Real12_RT_1,Real12_RT_2,Real12_RT_3,Real12_RT_4,Pretest2,NeuFakeImp,Neu1_2,Neu1_RT_1,Neu1_RT_2,Neu1_RT_3,Neu1_RT_4,NeuRealImp,Neu3_2,Neu3_RT_1,Neu3_RT_2,Neu3_RT_3,Neu3_RT_4,Pretest1,CRT_Inst,CRT1_1,CRT1_1_RT_1,CRT1_1_RT_2,CRT1_1_RT_3,CRT1_1_RT_4,CRT1_2,CRT1_2_RT_1,CRT1_2_RT_2,CRT1_2_RT_3,CRT1_2_RT_4,CRT1_3,CRT1_3_RT_1,CRT1_3_RT_2,CRT1_3_RT_3,CRT1_3_RT_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,CRT_chk,Age,Sex,Education,English,Party,Party_TEXT,Social_Conserv,Economic_Conserv,POTUS2016,ClintonTrump,DemRep,Media1,Media2,Media3_1,Media3_2,Media3_3,Media3_11,AccImp,FB_F,SocialMedia_Chk,Theism1,Theism2_1,Theism2_2,Theism2_3,Theism2_4,note,Random,Google,Fabricate,Comments,Length
R_ufxpTmadVuUWTrX,Default Response Set,Anonymous,,,0,10/4/2017 10:04,10/4/2017 10:21,1,375962,1,2,1,1,,1,1,5,15.033,16.9,18,2,1,3,9.841,9.841,13.711,1,1,2,3.553,3.553,4.743,1,1,2,29.334,29.334,30.514,1,1,2,4.16,4.16,5.161,1,1,2,1.616,1.616,3.506,1,1,2,84.343,84.343,85.322,1,1,2,2.466,2.466,3.454,1,1,5,6.57,6.57,7.333,1,1,4,18.283,18.283,19.001,1,1,3,33.477,34.861,37.121,2,1,5,101.22,101.22,102.186,1,1,2,1.742,1.742,3.381,1,1,2,4.312,4.312,5.232,1,1,2,49.906,51.222,53.279,2,1,2,3.164,3.164,4.061,1,1,2,11.608,11.608,12.553,1,1,2,11.541,11.541,12.496,1,1,2,4.505,4.505,6.439,1,1,2,8.475,8.475,9.428,1,1,2,5.273,5.273,6.195,1,1,2,0.941,0.941,2.189,1,1,2,3.691,3.691,4.78,1,1,2,1.889,1.889,4.892,1,1,,,,,,,1,2,4.87,4.87,6.748,1,,1,8,2.363,2.363,13.906,1,10,13.936,13.936,21.326,1,40,47.335,205.151,210.18,3,1st,7,emily,3,1,35,1,4,1,3,,3,3,1,1,1,2,2,1,1,2,2,2,5,2,3,,,1,,1,2,2,1,,20
R_cImTNMZa9hwRnTH,Default Response Set,Anonymous,,,0,10/4/2017 10:13,10/4/2017 10:21,1,781729,1,1,1,1,,1,1,1,17.262,19.233,20.821,2,1,3,2.17,4.87,6.004,2,1,5,2.426,5.375,6.421,2,1,1,4.78,5.98,6.952,2,1,4,1.528,10.572,11.366,3,1,1,1.95,3.342,4.507,2,1,2,2.604,3.975,5.142,2,1,1,1.609,2.938,3.847,2,1,5,6.169,7.887,8.82,2,1,1,13.694,15.14,16.389,2,1,1,5.834,7.358,8.697,2,1,4,3.372,14.466,15.539,2,1,3,3.697,5.616,6.988,2,1,4,2.086,3.395,4.167,2,1,1,6.722,8.177,8.997,2,1,1,2.784,4.001,4.972,2,1,1,3.269,8.073,9.178,2,1,4,3.576,5.02,5.84,2,1,1,1.849,3.177,4.312,2,1,1,11.537,13.65,14.862,2,1,2,8.389,9.92,11.082,2,1,1,3.018,4.655,5.954,2,1,1,3.694,5.229,6.436,2,1,2,4.436,6.486,8.641,2,1,1,3,5.114,6.435,7.706,2,,,,,,,,1,8,2.386,2.386,14.083,1,50,6.931,6.931,11.618,1,20,1.349,1.349,8.82,1,first,8,june,27,3,25,2,4,1,3,,3,3,3,1,1,2,2,3,4,3,2,5,5,1,1,1,1,,,1,2,2,2,,10 minutes
R_1hzhpXDsjFEoefh,Default Response Set,Anonymous,,,0,10/4/2017 10:07,10/4/2017 10:21,1,622437,1,1,1,1,,1,1,1,11.782,11.782,12.93,1,1,1,11.381,11.381,77.734,1,1,3,50.456,50.456,51.951,1,1,2,12.834,12.834,14.213,1,1,1,8.617,8.617,9.896,1,1,1,11.34,11.34,12.801,1,1,1,8.037,8.037,9.177,1,1,2,14.83,14.83,16.405,1,1,2,13.783,13.783,14.942,1,1,1,14.156,14.156,15.223,1,1,2,15.137,15.137,16.759,1,1,2,8.115,8.115,10.012,1,1,4,5.974,5.974,7.011,1,1,3,8.895,8.895,10.563,1,1,3,4.859,4.859,5.924,1,1,1,18.608,18.608,19.818,1,1,3,5.593,5.593,6.609,1,1,4,8.837,8.837,19.161,1,1,1,5.988,5.988,7.268,1,1,2,13.356,13.356,14.68,1,1,2,12.899,12.899,14.418,1,1,2,9.65,9.65,11.127,1,1,1,8.63,8.63,9.871,1,1,1,9.207,9.207,10.975,1,1,1,1,13.308,13.308,14.333,1,,,,,,,,1,8,9.622,9.622,12.411,1,10,11.479,11.479,31.968,1,20,17.304,17.304,19.873,1,first,8,Emily,3,1,38,2,3,1,3,,4,4,2,2,2,2,2,2,3,4,2,5,5,1,2,1,1,,,1,2,2,1,no comments,12
R_3I3uwhmVFfrPE9P,Default Response Set,Anonymous,,,0,10/4/2017 10:14,10/4/2017 10:21,1,272613,2,2,1,1,,1,1,1,9.932,11.144,12.544,2,1,1,3.497,5.797,6.68,3,1,1,3.911,3.911,5.597,1,1,1,3.251,4.227,4.656,2,1,1,2.255,3.979,5.164,2,1,1,3.086,3.906,5.202,2,1,1,2.745,3.355,4.571,2,1,1,20.62,22.026,23.132,2,1,1,4.265,5.722,7.244,2,1,1,2.286,2.286,3.952,1,1,1,2.267,2.267,2.994,1,1,1,4.536,4.536,5.786,1,1,1,1.704,1.704,2.634,1,1,1,4.269,6.192,7.196,2,1,1,2.09,4.355,6.067,3,1,1,2.71,8.057,9.171,4,1,1,2.481,4.013,5.357,2,1,1,3.308,3.948,5.39,2,1,1,1.858,1.858,2.87,1,1,1,1.406,2.876,3.934,3,1,1,3.221,7.064,8.323,5,1,2,3.412,6.357,8.19,3,1,2,8.851,10.736,11.68,3,1,1,2.022,2.406,3.603,2,,,,,,,,1,3,9.872,9.872,11.462,1,1,1,8,2.273,2.273,4.084,1,50,1.95,1.95,5.023,1,39,1.119,4.671,28.886,2,1st,8,Emily,3,2,22,1,3,1,3,,2,4,1,1,2,2,1,3,3,1,2,4,4,1,1,1,1,1,1,1,2,2,3,,5 min
R_12PiApFRD0A0dKo,Default Response Set,Anonymous,,,0,10/4/2017 10:07,10/4/2017 10:22,1,623963,1,1,1,1,,1,1,2,16.52,16.52,17.47,1,1,1,13.286,13.852,14.641,2,1,1,6.144,6.144,8.598,1,1,1,9.896,9.896,11.037,1,1,1,7.422,7.422,8.154,1,1,1,11.25,11.25,11.961,1,1,1,8.278,8.278,10.547,1,1,1,11.189,11.189,14.683,1,1,1,14.218,14.218,14.944,1,1,1,9.811,9.811,11.133,1,1,1,13.195,13.547,14.223,2,1,1,22.21,22.21,22.979,1,1,1,4.911,4.911,5.772,1,1,1,11.041,11.041,14.075,1,1,1,16.449,16.449,17.255,1,1,3,13.158,13.158,14.987,1,1,1,16.742,16.742,17.664,1,1,1,11.672,11.672,12.597,1,1,1,9.396,9.396,10.947,1,1,1,8.227,8.227,9.052,1,1,1,6.696,6.696,7.481,1,1,1,9.874,10.667,11.314,2,1,1,4.79,4.79,5.966,1,1,1,9.284,11.091,11.997,3,1,1,2,33.746,33.746,35.295,1,,,,,,,,1,8,13.219,13.219,17.239,1,50,20.931,20.931,37.683,1,20,15.411,15.411,18.769,1,first,8,Emily,27,2,45,2,5,1,3,,4,4,2,2,2,1,2,3,4,3,2,4,5,2,1,1,,,,1,2,2,3,,10 min
R_3PnMApVmE26UJgC,Default Response Set,Anonymous,,,0,10/4/2017 10:09,10/4/2017 10:23,1,762304,2,1,1,1,,1,1,5,6.237,9.481,10.783,3,1,4,10.624,11.993,13.305,2,1,5,5.298,9.755,11.064,3,1,3,3.742,9.98,11.263,3,1,2,6.347,9.99,11.25,3,1,3,21.456,34.472,35.486,4,1,4,5.403,9.364,10.485,3,1,4,9.998,14.595,15.665,2,1,2,20.408,22.613,24.2,2,1,3,4.138,11.581,12.791,3,1,4,6.682,12.743,13.904,4,1,5,6.732,8.094,9.38,2,1,2,5.591,11.053,12.094,3,1,5,3.853,7.739,9.605,3,1,2,7.131,9.439,10.892,2,1,4,4.203,7.956,8.91,3,1,3,5.11,7.57,8.581,2,1,3,4.215,5.895,7.844,2,1,4,6.299,8.032,9.335,2,1,3,4.379,6.848,8.079,2,1,2,6.542,15.058,16.152,3,1,1,4.552,10.695,12.43,3,1,5,4.378,6.184,7.906,2,1,4,3.786,7.259,8.045,3,,1,3,22.163,26.466,27.899,2,,,,,,,1,1,8,5.68,5.68,13.289,1,50,40.464,40.464,59.84,1,20,48.174,48.174,51.536,1,first,8,Emily,3,1,37,1,3,1,1,,3,3,1,1,1,2,1,4,3,4,2,4,5,1,1,,,1,,1,2,2,3,no,7 minutes
R_1hKXrzRDWH92EBG,Default Response Set,Anonymous,,,0,10/4/2017 10:08,10/4/2017 10:23,1,21392,2,2,1,1,,1,1,1,5.874,5.874,7.658,1,1,1,2.796,2.796,4.662,1,1,1,4.522,4.522,6.162,1,1,3,11.903,11.903,13.425,1,1,1,7.481,7.481,8.616,1,1,1,5.924,5.924,7.609,1,1,2,12.784,12.784,14.485,1,1,4,7.291,7.291,10.249,1,1,2,8.382,8.382,10.014,1,1,3,12.753,12.753,14.038,1,1,4,13.372,14.893,15.939,2,1,2,6.728,6.728,8.658,1,1,1,7.07,7.07,8.234,1,1,1,3.291,3.291,4.356,1,1,1,8.565,9.231,10.46,2,1,1,7.224,7.224,8.696,1,1,1,7.14,7.14,17.416,1,1,2,10.01,10.01,11.192,1,1,2,9.049,9.049,10.109,1,1,2,6.502,6.502,7.583,1,1,2,9.19,9.19,9.919,1,1,4,5.334,5.334,6.852,1,1,3,5.442,5.442,7.089,1,1,1,6.544,6.544,7.69,1,,,,,,,,1,2,19.205,19.205,21.044,1,1,1,4,86.945,86.945,89.477,1,10,29.159,29.159,61.34,1,39,92.848,92.848,106.888,1,2nd,8,Emily,0,2,35,2,5,1,6,Green party,1,1,1,1,1,2,2,3,2,2,2,4,5,1,3,1,,1,,1,2,2,3,None,14 minutes
R_12gL0m1nRPHrETW,Default Response Set,Anonymous,,,0,10/4/2017 10:13,10/4/2017 10:23,1,507498,2,2,1,1,,1,1,1,7.601,7.601,8.727,1,1,1,10.945,10.945,12.422,1,1,1,5.926,5.926,7.539,1,1,5,3.211,4.291,5.499,2,1,1,9.087,9.087,10.766,1,1,1,10.628,10.628,12.18,1,1,1,13.147,15.819,18.262,2,1,6,8.862,9.702,11.042,2,1,1,8.774,9.99,11.856,3,1,2,15.19,15.19,16.545,1,1,3,15.88,17.232,18.659,2,1,1,9.418,11.146,12.803,2,1,1,7.805,7.805,9.24,1,1,1,3.578,3.578,5.274,1,1,1,4.15,4.15,5.684,1,1,1,8.423,8.423,9.842,1,1,1,5.812,5.812,7.27,1,1,1,6.787,6.787,8.34,1,1,3,10.437,10.437,11.653,1,1,5,5.92,5.92,7.442,1,1,1,7.803,7.803,9.39,1,1,4,13.652,13.652,15.135,1,1,5,5.566,5.566,7.005,1,1,2,14.48,16.272,17.105,2,,,,,,,,1,4,17.169,17.169,19.167,1,1,1,4,10.779,10.779,13.427,1,10,4.301,4.301,25.291,1,39,8.527,8.527,13.007,1,2,8,Emily,27,2,53,1,6,1,1,,2,1,1,1,1,2,1,5,4,3,1,4,5,1,1,,,1,,1,2,2,1,no,10 minutes
R_2bUcrbZD8D2wyRR,Default Response Set,Anonymous,,,0,10/4/2017 10:14,10/4/2017 10:23,1,525352,2,1,1,1,,1,1,1,3.145,3.145,4.261,1,1,1,1.266,2.22,2.573,3,1,2,2.284,8.508,11.144,2,1,2,9.34,9.34,10.28,1,1,1,1.809,3.402,4.153,2,1,1,2.111,3.062,3.476,2,1,1,2.813,2.813,4.263,1,1,2,7.395,7.395,8.202,1,1,1,1.837,1.837,6.577,1,1,1,1.572,1.572,2.465,1,1,1,1.85,1.85,3.285,1,1,1,2.596,2.596,8.272,1,1,1,2.008,2.008,3.221,1,1,1,1.963,3.755,4.463,2,1,1,6.744,6.744,7.741,1,1,1,5.656,5.656,6.876,1,1,1,1.338,1.338,3.342,1,1,1,1.728,1.728,3.03,1,1,1,1.58,1.58,8.899,1,1,1,1.452,2.204,5.128,2,1,1,6.104,6.104,12.936,1,1,1,2.164,2.164,9.055,1,1,1,6.649,6.649,7.412,1,1,1,1.929,1.929,4.548,1,,1,3,14.584,15.544,16.146,2,,,,,,,1,1,4,1.428,10.779,112.117,2,50,13.022,13.022,14.919,1,15,16.92,16.92,22.5,1,second,7,Emily,1,1,32,1,5,1,2,,4,4,2,2,2,1,2,2,2,2,2,5,5,2,1,1,,,,1,2,2,2,,8 minutes
R_3egGYcQE2WN45UJ,Default Response Set,Anonymous,,,0,10/4/2017 10:07,10/4/2017 10:23,1,258488,2,2,1,1,,1,1,6,11.336,11.336,11.945,1,1,1,2.457,2.457,3.23,1,1,6,5.311,5.742,6.327,2,1,1,4.394,4.394,5.278,1,1,1,19.945,19.945,21.061,1,1,3,5.606,5.606,6.387,1,1,1,5.329,5.797,6.813,2,1,1,3.177,3.177,5.343,1,1,6,61.551,62.105,62.409,2,1,1,172.941,172.941,174.417,1,1,1,4.774,4.774,21.389,1,1,1,178.571,178.571,180.258,1,1,1,15.021,15.474,16.771,2,1,6,1.716,3.7,4.02,3,1,3,10.63,12.958,13.677,2,1,1,2.285,2.285,3.083,1,1,1,11.677,12.505,12.825,2,1,1,5.761,5.761,10.564,1,1,1,1.477,3.235,4.338,4,1,1,7.875,7.875,9.306,1,1,1,4.825,5.403,6.464,2,1,1,3.191,3.815,4.667,2,1,1,6.956,6.956,7.744,1,1,1,6.025,6.025,10.817,1,,,,,,,,1,3,40.292,43.018,44.181,2,1,1,8,8.733,8.733,11.646,1,50,6.923,37.812,43.772,2,20,35.026,35.026,38.135,1,second,8,Emily,3,3,26,1,3,1,2,,4,5,2,2,2,2,2,3,4,5,3,2,3,2,1,1,,,,1,2,2,2,no,15 minutes
R_3m2e1jc4iGbF4pi,Default Response Set,Anonymous,,,0,10/4/2017 10:14,10/4/2017 10:24,1,765534,1,2,1,1,,1,1,1,12.618,12.618,14.423,1,1,1,2.233,2.233,4.257,1,1,1,7.558,7.558,8.393,1,1,1,11.029,11.029,11.979,1,1,1,1.717,1.717,2.656,1,1,1,1.467,1.467,2.567,1,1,1,1.965,3.156,4.49,2,1,3,9.201,9.816,10.621,2,1,1,14.711,14.711,16.207,1,1,1,3.963,3.963,8.372,1,1,1,14.25,14.25,15.087,1,1,1,17.576,18.168,18.963,2,1,1,3.236,3.236,4.068,1,1,1,1.269,1.269,2.334,1,1,1,3.317,3.317,4.518,1,1,1,13.158,13.158,14.025,1,1,1,3.856,5.629,12.907,2,1,1,1.461,1.461,2.902,1,1,1,1.753,2.518,3.306,2,1,1,1.48,1.48,2.742,1,1,1,4.3,6.852,9.319,2,1,1,4.961,4.961,5.819,1,1,1,1.483,1.483,2.714,1,1,1,1.337,1.337,2.249,1,1,,,,,,,1,2,13.667,13.667,15.377,1,,1,4,0,0,54.117,0,10,29.525,29.525,40.755,1,39,28.191,28.191,29.366,1,1,8,Emily,27,3,30,1,4,1,3,,3,3,6,2,2,2,2,2,4,1,2,4,1,2,3,1,,1,,1,2,2,3,,10 minutes
R_wSMqZqdkwedsFDb,Default Response Set,Anonymous,,,0,10/4/2017 10:19,10/4/2017 10:24,1,589603,2,2,1,1,,1,1,3,5.133,5.133,5.783,1,1,2,2.66,2.66,3.436,1,1,2,3.398,3.398,4.115,1,1,3,3.731,3.731,4.723,1,1,3,2.893,3.661,3.942,2,1,1,8.734,8.734,9.361,1,1,2,1.989,1.989,3.194,1,1,2,5.445,5.445,6.287,1,1,2,5.111,5.111,5.945,1,1,2,1.787,1.787,2.543,1,1,2,1.35,1.35,2.962,1,1,3,2.652,2.652,6.215,1,1,3,2.311,2.311,3.081,1,1,1,2.469,2.469,3.077,1,1,3,2.466,2.466,3.318,1,1,2,2.057,4.209,4.552,3,1,2,1.587,1.587,2.29,1,1,3,5.13,9.075,9.661,5,1,2,2.02,2.684,3.402,3,1,2,1.289,1.289,1.866,1,1,3,3.523,5.436,6.293,3,1,2,3.903,3.903,4.869,1,1,2,2.172,2.876,3.583,3,1,2,1.111,1.653,2.477,2,,,,,,,,1,2,6.371,6.371,7.054,1,1,1,8,1.075,15.691,18.309,3,50,0.857,0.857,8.226,1,10,3.033,11.536,12.04,4,2nd,8,June,9,1,25,1,4,1,1,,2,3,1,1,1,2,1,2,3,1,1,2,3,2,4,1,,,,1,2,2,2,,15 min
R_3CIY6BDZbevq2Hw,Default Response Set,Anonymous,,,0,10/4/2017 10:18,10/4/2017 10:24,1,23498,1,1,1,1,,1,1,3,1.217,1.217,3.017,1,1,3,1.328,1.328,2.356,1,1,3,1.101,1.101,2.642,1,1,3,1.809,4.354,5.33,2,1,3,1.649,3.273,4.285,2,1,3,1.48,1.48,2.325,1,1,3,1.486,1.486,2.42,1,1,3,1.279,1.279,3.757,1,1,3,1.907,1.907,3.586,1,1,3,1.129,1.996,2.54,2,1,3,1.442,1.442,2.915,1,1,3,1.432,1.432,2.907,1,1,3,4.818,4.818,5.661,1,1,3,1.802,3.435,3.969,2,1,3,1.614,1.614,3.437,1,1,3,1.506,2.675,3.587,2,1,3,2.2,4.104,5.105,2,1,3,1.589,2.642,3.772,2,1,3,1.534,1.534,2.836,1,1,3,1.305,3.894,4.386,3,1,3,1.485,2.302,3.129,2,1,3,4.765,4.765,6.193,1,1,3,1.366,1.366,3.758,1,1,3,1.496,1.496,2.723,1,1,1,2,5.64,5.64,7.085,1,,,,,,,,1,8,2.783,2.783,7.123,1,10,3.723,3.723,10.539,1,39,1.402,1.402,71.873,1,second,8,,3,3,42,1,5,1,1,,3,3,2,1,1,2,1,3,3,3,3,3,5,1,2,1,,,,1,2,2,1,no,3 minutes
R_SBIOaWD1WBO1x1n,Default Response Set,Anonymous,,,0,10/4/2017 10:15,10/4/2017 10:24,1,738216,1,2,1,1,,1,1,4,6.757,6.757,7.673,1,1,1,3.521,3.521,4.606,1,1,1,5.414,5.414,6.388,1,1,1,5.177,5.177,6.408,1,1,1,7.905,8.839,9.463,2,1,1,4.697,4.697,6.446,1,1,1,3.801,3.801,4.898,1,1,5,6.58,10.934,11.704,2,1,1,5.759,5.759,7.137,1,1,1,5.795,5.795,6.824,1,1,1,5.05,5.05,6.114,1,1,1,5.961,5.961,6.911,1,1,1,5.321,5.321,6.687,1,1,1,3.879,3.879,4.874,1,1,1,3.043,3.043,4.219,1,1,1,6.45,6.45,7.467,1,1,1,6.966,6.966,7.973,1,1,1,4.113,4.113,5.12,1,1,1,8.239,8.239,9.223,1,1,1,6.206,6.206,7.223,1,1,1,5.572,5.572,6.523,1,1,2,8.396,8.396,9.201,1,1,4,4.993,6.534,7.147,2,1,1,6.997,6.997,7.845,1,1,,,,,,,1,3,11.776,11.776,12.995,1,,1,4,1.925,45.068,49.403,3,50,4.151,4.151,12.413,1,10,3.616,3.616,20.99,1,2,8,June,9,3,62,2,7,1,1,,1,1,1,1,1,2,2,5,5,3,2,1,5,1,1,,,,,1,2,2,2,"One reason I am reluctant to share political information on FB is that I do use the site professionally, in addition to LinkedIn",8
R_1IXVNskpRGLoPLi,Default Response Set,Anonymous,,,0,10/4/2017 10:16,10/4/2017 10:26,1,331565,2,1,1,1,,1,1,3,29.245,37.785,43.363,4,1,2,6.167,8.671,10.144,2,1,1,8.149,13.558,15.403,2,1,2,8.225,10.197,11.862,2,1,2,6.007,7.622,9.021,2,1,1,5.711,8.034,9.901,2,1,4,4.103,5.721,6.833,2,1,4,13.044,14.756,15.971,2,1,2,9.053,11.144,12.507,2,1,1,4.581,6.992,8.607,2,1,4,5.297,7.192,9.303,2,1,1,7.35,9.404,10.89,2,1,4,4.171,5.381,6.482,2,1,2,3.171,4.956,6.523,2,1,4,4.928,6.706,7.973,2,1,4,4.895,7.423,8.75,2,1,2,6.057,8.441,10.975,2,1,3,3.228,5.206,6.641,2,1,1,8.444,10.59,12.316,2,1,3,3.383,4.845,5.96,2,1,2,3.719,5.911,8.212,2,1,3,4.653,6.506,7.617,2,1,4,3.542,5.275,6.488,2,1,3,5.85,7.364,8.817,2,,1,2,22.116,28.596,30.307,2,,,,,,,1,1,8,5.587,5.587,10.286,1,50,6.411,6.411,10.374,1,20,15.702,15.702,21.135,1,1,8,Emily,9,3,29,2,3,1,1,,2,2,1,1,1,2,,3,3,4,2,5,4,1,1,1,,,,1,2,2,3,fun survey,10 mins
R_5jtRY0Xjmo4NrK9,Default Response Set,Anonymous,,,0,10/4/2017 10:07,10/4/2017 10:27,1,705250,1,1,1,1,,1,1,6,7.488,8.032,9.385,2,1,5,5.124,5.124,5.893,1,1,6,5.511,5.511,7.134,1,1,4,4.783,6.454,7.687,2,1,6,6.671,6.671,7.952,1,1,6,5.673,5.673,7.036,1,1,1,11.495,13.569,14.833,2,1,3,8.078,9.959,11.028,2,1,5,21.848,21.848,24.046,1,1,3,8.116,8.598,9.554,2,1,2,7.026,7.026,8.082,1,1,2,8.308,8.308,9.135,1,1,6,9.338,9.338,11.18,1,1,6,3.847,3.847,4.603,1,1,1,12.529,12.529,13.579,1,1,5,3.679,4.987,5.933,3,1,6,6.814,6.814,8.014,1,1,1,5.089,5.089,6.111,1,1,1,10.086,10.086,11.238,1,1,2,8.098,9.33,9.77,2,1,1,5.613,5.613,6.981,1,1,1,5.928,6.376,7.639,2,1,1,4.374,4.374,6.09,1,1,1,188.533,189.483,190.768,2,1,1,2,8.029,8.029,8.91,1,,,,,,,,1,8,9.085,9.085,13.619,1,50,8.974,8.974,25.503,1,39,9.668,209.977,217.302,9,Second,8,Emily,0,3,34,1,3,1,2,,5,5,2,2,2,1,2,1,3,3,3,3,5,1,1,1,,,,1,2,2,3,no,"about 20 minutes, some of the logic questions had to really think about hard"
R_rjvEUZA1nZIke9H,Default Response Set,Anonymous,,,0,10/4/2017 10:11,10/4/2017 10:27,1,18770,2,2,1,1,,1,1,1,16.987,16.987,18.461,1,1,1,10.984,10.984,12.693,1,1,1,9.112,9.112,14.16,1,1,5,10.905,10.905,16.835,1,1,1,5.385,5.465,6.8,2,1,1,12.119,12.199,14.067,2,1,5,20.781,20.845,21.943,2,1,5,20.041,20.114,21.292,2,1,1,11.707,12.155,14.828,3,1,1,6.945,7.033,7.929,2,1,4,13.153,13.226,14.161,2,1,1,11.375,11.479,12.705,2,1,2,10.684,10.766,11.783,2,1,4,12.536,12.625,19.765,2,1,1,23.856,23.901,25.162,3,1,2,11.529,11.593,12.748,2,1,1,21.521,21.601,22.516,2,1,3,13.248,13.335,15.651,2,1,2,39.131,39.131,40.479,1,1,1,10.911,11.312,13.069,4,1,4,9.706,10.178,11.545,2,1,1,16.983,16.983,19.975,1,1,1,6.027,6.106,7.66,2,1,5,14.805,14.91,16.911,2,,,,,,,,1,3,28.592,28.656,33.014,2,1,1,8,28.158,28.253,74.424,2,50,21.769,21.857,36.498,2,39,11.539,11.619,15.789,2,second,8,Emily,3,3,34,2,3,1,3,,1,1,1,1,1,2,2,4,5,4,4,5,5,1,1,1,,1,,1,2,2,3,"I enjoyed that the headlines were from various news sources, including left and right wing leaning sources, as well as what I consider to be ""fake"" news sources.  ","I did not pay attention, but I feel like it was approximately 15 minutes. "
R_2WA6v7TwoJOVDp2,Default Response Set,Anonymous,,,0,10/4/2017 10:19,10/4/2017 10:27,1,256726,2,1,1,1,,1,1,6,4.738,4.738,7.173,1,1,1,4.534,5.775,7.638,2,1,1,6.589,6.589,8.757,1,1,1,5.671,5.671,7.854,1,1,1,5.509,5.509,6.807,1,1,2,5.56,5.56,8.77,1,1,1,4.616,5.41,9.369,3,1,2,9.321,9.321,10.876,1,1,1,3.823,3.823,5.684,1,1,1,2.992,2.992,5.05,1,1,1,4.223,4.223,6.801,1,1,6,7.053,7.053,8.219,1,1,5,4.701,5.577,8.266,3,1,5,4.889,4.889,6.299,1,1,5,3.652,3.652,5.096,1,1,5,5.013,5.013,6.339,1,1,4,5.913,9.558,11.079,3,1,5,3.603,3.603,4.805,1,1,1,4.822,5.715,7.911,2,1,2,4.742,4.742,6.279,1,1,1,3.84,3.84,5.871,1,1,1,5.107,6.557,8.6,2,1,2,3.648,3.648,5.2,1,1,1,4.923,4.923,7.206,1,,1,3,6.57,6.57,8.051,1,,,,,,,1,1,4,2.053,2.053,38.494,1,50,1.616,1.616,14.299,1,20,1.884,1.884,18.479,1,second,8,emily,0,1,18,2,3,1,2,,4,4,4,2,2,2,2,2,1,2,1,5,5,1,4,,,1,,1,2,2,1,,10 minutes
