ResponseID,ResponseSet,Name,ExternalDataReference,Email,Status,StartDate,EndDate,Finished,age,gender,hhi,ethnicity,hispanic,education,political_party,region,confirmCode,Condition,PKOrder,Endorse,RealFake,Consent,FB,Term,Funny,Fake1,Fake1_Funny,Fake1_RT_1,Fake1_RT_2,Fake1_RT_3,Fake1_RT_4,Fake2,Fake2_Funny,Fake2_RT_1,Fake2_RT_2,Fake2_RT_3,Fake2_RT_4,Real1,Real1_Funny,Real1_RT_1,Real1_RT_2,Real1_RT_3,Real1_RT_4,Real2,Real2_Funny,Real2_RT_1,Real2_RT_2,Real2_RT_3,Real2_RT_4,Accuracy,Fake1.0,Fake1_2,Fake1_RT_1.0,Fake1_RT_2.0,Fake1_RT_3.0,Fake1_RT_4.0,Fake2.0,Fake2_2,Fake2_RT_1.0,Fake2_RT_2.0,Fake2_RT_3.0,Fake2_RT_4.0,Real1.0,Real1_2,Real1_RT_1.0,Real1_RT_2.0,Real1_RT_3.0,Real1_RT_4.0,Real2.0,Real2_2,Real2_RT_1.0,Real2_RT_2.0,Real2_RT_3.0,Real2_RT_4.0,AccImp,InstAfterAcc,InstNoAcc,Fake1_SM,Fake1_3,Fake1_RT_1.1,Fake1_RT_2.1,Fake1_RT_3.1,Fake1_RT_4.1,Fake2_SM,Fake2_3,Fake2_RT_1.1,Fake2_RT_2.1,Fake2_RT_3.1,Fake2_RT_4.1,Fake3_SM,Fake3_3,Fake3_RT_1,Fake3_RT_2,Fake3_RT_3,Fake3_RT_4,Fake4_SM,Fake4_3,Fake4_RT_1,Fake4_RT_2,Fake4_RT_3,Fake4_RT_4,Fake5_SM,Fake5_3,Fake5_RT_1,Fake5_RT_2,Fake5_RT_3,Fake5_RT_4,Fake6_SM,Fake6_3,Fake6_RT_1,Fake6_RT_2,Fake6_RT_3,Fake6_RT_4,Fake7_SM,Fake7_3,Fake7_RT_1,Fake7_RT_2,Fake7_RT_3,Fake7_RT_4,Fake8_SM,Fake8_3,Fake8_RT_1,Fake8_RT_2,Fake8_RT_3,Fake8_RT_4,Fake9_SM,Fake9_3,Fake9_RT_1,Fake9_RT_2,Fake9_RT_3,Fake9_RT_4,Fake10_SM,Fake10_3,Fake10_RT_1,Fake10_RT_2,Fake10_RT_3,Fake10_RT_4,Real1_SM,Real1_3,Real_RT_1,Real_RT_2,Real_RT_3,Real_RT_4,Real2_SM,Real2_3,Real2_RT_1.1,Real2_RT_2.1,Real2_RT_3.1,Real2_RT_4.1,Real3_SM,Real3_3,Real3_RT_1,Real3_RT_2,Real3_RT_3,Real3_RT_4,Real4_SM,Real4_3,Real4_RT_1,Real4_RT_2,Real4_RT_3,Real4_RT_4,Real5_SM,Real5_3,Real5_RT_1,Real5_RT_2,Real5_RT_3,Real5_RT_4,Real6_SM,Real6_3,Real6_RT_1,Real6_RT_2,Real6_RT_3,Real6_RT_4,Real7_SM,Real7_3,Real7_RT_1,Real7_RT_2,Real7_RT_3,Real7_RT_4,Real8_SM,Real8_3,Real8_RT_1,Real8_RT_2,Real8_RT_3,Real8_RT_4,Real9_SM,Real9_3,Real9_RT_1,Real9_RT_2,Real9_RT_3,Real9_RT_4,Real10_SM,Real10_3,Real10_RT_1,Real10_RT_2,Real10_RT_3,Real10_RT_4,CRTInst,Q214,CRT1_1,CRT1_2,CRT1_3,CRT3_1,CRT3_2,CRT_Est,PK_Inst,PK_1,PK_1_RT_1,PK_1_RT_2,PK_1_RT_3,PK_1_RT_4,PK_2,PK_2_RT_1,PK_2_RT_2,PK_2_RT_3,PK_2_RT_4,PK_3,PK_3_RT_1,PK_3_RT_2,PK_3_RT_3,PK_3_RT_4,PK_4,PK_4_RT_1,PK_4_RT_2,PK_4_RT_3,PK_4_RT_4,PK_5,PK_5_RT_1,PK_5_RT_2,PK_5_RT_3,PK_5_RT_4,PK_Est,note,Random,Google,Age.0,Gender.0,Gender_TEXT,Education.0,Income,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Party,Party_TEXT,DemRep_C,DemRep_Past_1,DemRep_Past_2,DemRep_Past_3,DemRep_Past_4,DemRep_Past_5,DemRep_Past_6,Social_Conserv,Economic_Conserv,POTUS2016,Congress2018,feeling_therm_trump__1,support_trump,vote_trump_2020,SocialMedia_Chk,Facebook_Freq,SharingBelief_others,SharingBelief_self,Media1,Media2,Media3_1,Media3_2,Media3_3,Media3_11,Zipcode,Comments,Length
R_1INlMClBFgkqcSG,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,55,2,8,1,1,5,2,3,870136, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3p0ehOzBnN9Rb9j,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,70,1,20,1,1,5,10,3,750695, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_z5OiXBXQKmsXBFT,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,36,2,5,1,1,6,1,3,728433,3,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1,6,8.103,8.103,9.729,1,6,1, ,1,1,0.662,0.662,1.971,1,1,1,1.291,1.291,2.654,1,1,1,3.707,3.707,6.182,1,1,1,1.665,1.665,2.787,1,1,1,2.118,2.118,2.976,1,1,1,0.602,0.602,1.783,1,1,1,4.794,4.794,5.591,1,1,1,4.081,4.081,5.133,1,1,1,3.391,3.391,5.72,1,1,1,5.408,5.408,6.329,1,1,1,2.798,2.798,4.045,1,1,1,1.186,1.186,2.495,1,1,1,0.163,0.163,0.943,1,1,1,3.638,3.638,4.816,1,1,1,1,2.31,2.689,2,1,1,0.4,0.4,1.304,1,1,1,0.516,0.516,1.544,1,1,1,0.616,0.616,1.381,1,1,1,2.041,2.041,3.034,1,1,1,3.544,3.544,4.542,1,1,1,8,10,39,1,7,5,1,2,5.256,5.256,5.939,1,1,2.652,3.123,4.3,2,1,2.343,2.343,3.27,1,1,2.551,2.551,3.627,1,4,3.246,3.246,3.858,1,0,1,1,2,36,2, ,5,4,1, , , , , , ,1, ,2, ,1, , , , ,2,2,1,1,0,1,1,2,5,4, ,1,2,3,3,3,3,70506, , 
R_ZlSjMQEc5XfjHLr,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,62,1,2,1,1,3,7,2,92172, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_30kqKJHzAsOSDYq,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,79,1,6,1,1,2,10,3,273403, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_eP24tBQcXYY6NnX,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,42,2,1,2,1,1,1,2,391412, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_xgXpnWAqHS1fCxP,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,37,2,9,15,1,2,4,3,98958,1,2,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,1,1,3,14.232,17.528,18.054,6,1,4,3.316,9.332,9.788,5,1,6,2.221,3.383,3.8,3,1,2,0.861,1.849,2.417,3,1,1,1.05,2.025,2.6,3,1,2,0.069,11.562,12.423,10,1,5,1,2.225,2.718,3,1,1,11.396,15.664,16.2,3,1,6,2.117,4.072,4.597,4,1,5,4.279,6.412,7.188,3,1,1,1.622,2.405,2.956,3,1,1,2.097,3.372,3.983,3,1,4,1.551,4.007,4.53,4,1,1,3.684,6.142,6.872,5,1,4,1.348,1.901,2.763,2,1,1,2.169,4.448,4.96,3,1,4,2.674,3.675,4.155,3,1,3,1.899,5.278,5.786,6,1,1,7.723,8.93,9.577,3,1,3,3.105,9.184,9.6,8,1,1,8,50,80,1,6,1,1,2,3.524,4.053,4.699,2,3,2.101,2.101,2.785,1,3,2.335,4.933,5.7,4,2,5.201,5.201,6.665,1,5,1.878,1.878,3.114,1,3,1,2,1,38,2, ,3,7,1,1, , , , , ,3, ,3, , ,1, , , ,3,3,1,1,0,1,1,1,4,7, ,2,2,2,3,2,2,33605,The math part of the survey was quite interesting.,12 mins
R_2bPLx0T3gFR7Nxh,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,37,2,19,1,1,2,9,2,50070, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_31ozQ4YFsYiruli,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,25,2,4,1,1,2,1,3,910418,4,1,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,1,1,2,0.729,1.774,2.312,3,1,1,0.383,0.995,1.577,2,1,2,0.101,1.818,2.502,4,1,2,0.401,1.656,2.226,3,1,3,0.555,1.094,1.62,2,1,3,0.673,1.218,1.789,2,1,3,0.631,1.627,2.181,3,1,1,0.449,0.449,1.073,1,1,2,0.548,1.09,1.735,2,1,2,0.568,2.356,2.967,4,1,3,0.382,2.199,2.788,4,1,1,0.326,1.58,2.165,3,1,4,0.353,3.08,3.701,5,1,3,0.679,1.23,1.745,2,1,1,0.598,1.742,2.454,3,1,1,0.671,1.224,1.841,2,1,3,0.664,2.489,3.032,4,1,2,14.257,16.684,17.348,5,1,3,0.537,1.17,1.6,2,1,1,0.834,2.059,2.668,2,1,1,8,30,20,6,6,6,1,2,0.844,0.844,1.547,1,3,0.667,1.248,1.924,2,4,0.556,0.556,1.122,1,5,1.001,1.001,1.765,1,2,1.114,1.663,2.303,2,5,1,2,1, ,2, ,2,2,1, , , , , , ,1, ,1,1, , , , , ,3,3,3,5,82,5,7,1,2,2, ,1,1,3,2,3,3,34428,Native also,Bark serum dim sp
R_2cqtuVIMzIVDFlz,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,31,1,15,11,1,2,9,4,377923,4,2,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,1,3,4.592,6.812,7.792,3,1,3,5.413,9.427,9.9,7,1,3,3.74,7.193,7.723,6,1,3,3.797,4.927,5.873,3,1,3,1.448,4.167,5.077,3,1,2,1.08,1.8,2.799,3,1,3,1.217,2.318,3.129,3,1,3,0.838,1.685,2.665,3,1,3,0.8,2.295,2.764,4,1,3,6.897,8.167,9.074,3,1,2,2.521,3.417,3.963,3,1,3,1.143,2.357,3.247,3,1,3,1.281,2.68,3.171,3,1,3,1.016,1.828,2.708,3,1,3,1.406,2.433,2.94,3,1,2,0.696,2.345,2.879,4,1,3,0.877,1.759,2.71,3,1,3,3.02,4.156,5.108,3,1,3,0.877,1.646,2.59,3,1,3,3.44,6.154,6.806,5,1,1,20,50,80,1,7,1,1,3,3.295,3.295,3.715,1,2,2.413,3.297,3.848,2,3,3.87,3.87,4.604,1,2,3.583,3.583,3.991,1,5,2.953,2.953,3.383,1,0,1,1,2,31,1, ,2,8,1, , , , , , ,2, ,4, , , ,1, , ,4,4,5,6,62,3,4,2,5, ,4,1,1,3,3,3,3,89052,No,10 minutes
R_3fPfqF4vExP7MbC,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,35,2,1,15,2,2,4,2,973772, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3k0AsTBEm1JEbgC,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,62,2,9,1,1,4,10,3,262489,4,2,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1,1,6,9.688,9.688,11.742,1,1,6,5.548,5.548,6.41,1,1,3,20.066,20.066,21.192,1,1,5,11.049,11.049,12.342,1,1,5,10.307,10.307,12.562,1,1,1,6.459,6.459,8.056,1,1,1,6.506,6.506,9.111,1,1,3,5.966,5.966,6.79,1,1,2,5.046,5.046,6.468,1,1,3,7.086,7.086,8.124,1,1,5,11.765,11.765,12.798,1,1,4,15.916,15.916,16.802,1,1,5,5.495,5.495,6.3,1,1,6,5.04,5.04,6.014,1,1,6,4.87,4.87,7.772,1,1,1,13.836,13.836,14.874,1,1,2,9.034,9.034,10.175,1,1,3,8.504,8.504,9.535,1,1,1,8.531,8.531,9.944,1,1,3,16.792,16.792,18.382,1,1,1,8,50,20,1,7,2,1,1,4.698,4.698,5.936,1,1,3.142,3.142,4.083,1,2,5.203,5.203,6.327,1,3,5.533,5.533,7.545,1,5,6.639,6.639,7.869,1,1,1,1,2,62,2, ,3,7,1, , , , , , ,2, ,6, , , , ,1, ,4,4,2,2,100,7,7,1,5, ,4,1,2,1,2,3,2,33812,I felt rather dumb after not being able to accurately answer some of the questions,12 min
R_XnAcy33j21loV8t,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,21,2,1,2,1,6,5,3,879155,2,1,2,2,1,1, ,1, , , , , , , , , , , , ,1,2,3.893,10.478,11.43,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, ,1,4,0.581,1.68,2.513,3,1,3,0.73,1.677,2.443,3,1,1,0.305,0.708,2.205,2,1,3,0.505,0.923,1.706,2,1,4,0.685,5.003,5.63,4,1,3,0.81,2.228,3.578,3,1,3,0.231,0.231,1.099,1,1,2,0.73,4.129,5.109,3,1,1,0.217,0.653,1.972,2,1,2,0.275,1.893,3.009,4,1,1,1.701,2.053,3.548,2,1,4,0.778,2.493,2.523,4,1,2,0.271,0.754,2.066,2,1,4,0.839,1.161,2.145,2,1,1,0.191,1.391,2.224,3,1,1,1.067,2.051,3.189,3,1,3,0.624,1.587,2.307,3,1,1,0.185,1.334,2.146,3,1,1,0.164,0.751,1.88,2,1,1,0.219,0.755,2.398,2,1,1,8,0,0,1,7,3,1,2,3.713,6.228,6.762,2,3,1.278,3.044,4.063,2,1,1.152,1.152,1.7,1,4,0.547,0.547,0.981,1,3,0.393,0.393,0.847,1,1,1,2,1,21,2, ,3,1, ,1, , , , , ,3, ,5, , , , ,1, ,3,5,3,2,37,3,5,1,5, ,3,1, ,3,3,2,3,38109,No,5 minutes
R_2TF8APtiKNbZ7ue,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,40,2,1,1,1,4,10,3,401835,4,1,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1,1,1,7.571,9.66,10.353,4,1,1,3.157,4.732,5.376,3,1,1,9.905,11.606,12.302,3,1,1,0.762,1.816,2.461,3,1,1,3.2,4.34,5,3,1,1,10.915,15.209,15.831,6,1,1,4.047,5.501,6.219,3,1,1,1.315,3.034,4.4,4,1,1,21.383,23.351,24.101,4,1,1,7.958,9.091,9.6,3,1,1,7.074,9.969,10.65,4,1,1,3.237,4.17,4.826,3,1,4,5.744,8.316,8.886,3,1,1,1.577,5.169,5.845,5,1,1,3.112,4.263,4.942,3,1,1,1.211,15.663,16.369,4,1,1,5.581,7.432,8.173,5,1,1,4.493,6.23,6.864,4,1,1,2.682,4.02,4.699,3,1,4,1.295,8.142,8.7,6,1,1,8,50,20,1,7,5,1,1,4.52,4.52,7.585,1,3,3.442,3.442,4.353,1,2,7.609,7.609,8.1,1,1,6.515,6.515,7.17,1,4,3.026,3.026,3.7,1,0,1,2,2,40,2, ,4,2,1, , , , , , ,2, ,6, , , , , ,1,3,3,2,5,76,7,6,2,5,6, ,1,2,3,3,5,2,39560, ,5
R_SNvjTmI8CProiNH,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,33,1,9,2,1,4,9,3,950196,3,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,0.968,62.459,63.106,16, , , , , , , , , , , , , , , , , , ,5,1, ,1,1,4.311,6.532,7.21,5,1,5,2.921,6.999,7.644,5,1,1,2.24,3.764,4.488,3,1,3,2.637,4.767,5.403,4,1,2,4.809,8.671,9.303,7,1,5,2.905,19.611,20.101,6,1,5,1.11,5.64,6.796,4,1,5,4.34,6.149,6.701,3,1,6,1.421,2.86,3.401,3,1,5,1.06,3.886,4.401,3,1,4,2.693,5.169,5.701,4,1,5,2.098,5.982,6.663,5,1,6,2.471,4.741,5.465,4,1,5,9.702,12.14,12.836,5,1,3,1.115,5.642,6.601,6,1,2,7.005,8.08,8.747,3,1,5,3.524,16.031,16.743,7,1,5,3.479,4.574,5.1,2,1,6,3.541,4.341,4.901,2,1,5,3.046,11.154,11.701,5,1,1,8,50,20,2,7,4,1,3,2.452,2.452,3.063,1,2,1.64,1.64,2.173,1,4,3.33,3.766,5.634,2,1,2.562,5.495,5.99,5,3,2.858,3.376,3.885,2,3,1,2,2,32,1, ,4,4, ,1, , , , , ,2, ,4, , , ,1, , ,3,3,2,2,93,6,7,1,4, ,6,1,2,3,3,3,3,35007,Thanks,8
R_10PHTkIYV2pYYFN,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,29,2,1,1,1,2,5,2,693383,3,2,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1,4,18.227,21.794,22.401,5, , , , , , ,5,1, ,1,2,0.644,3.219,3.838,7,1,6,0.646,5.323,5.977,14,1,6,4.001,45.161,45.876,5,1,3,0.623,2.384,2.901,4,1,4,5.523,7.083,7.886,3,1,5,0.715,5.006,5.673,12,1,3,0.937,2.59,3.674,4,1,3,1.368,2.225,2.901,2,1,5,0.713,1.43,2.052,2,1,4,0.4,7.188,7.847,5,1,6,0.617,1.501,2.095,2,1,3,1.432,4.389,5.035,5,1,6,1.955,5.956,6.816,11,1,2,1.083,1.669,2.269,2,1,5,1.253,2.914,4.301,3,1,1,1.054,1.64,2.325,2,1,5,7.98,9.641,10.2,3,1,5,1.073,1.878,2.52,2,1,5,0.409,1.117,1.8,2,1,4,0.726,3.756,4.601,6,1,1,8,50,20,1,8,3,1,3,5.052,5.052,5.7,1,2,3.63,3.63,4.267,1,1,3.851,3.851,4.46,1,1,3.564,3.564,4.72,1,4,5.691,5.691,6.278,1,3,1,2,2,29,2, ,2,3,1, , , , , , ,3, ,4, , , ,1, , ,3,5,3,3,75,3,3,1,5, ,5,1,2,4,3,5,4,43964,None,10 minutes
R_2BtFGbbhb6wEJRu,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,36,2,4,1,1,2,2,3,565567,2,1,1,2,1,1, ,1, , , , , , , , , , , , , , , , , , ,1,3,6.058,19.391,23.49,8, , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, ,1,3,6.467,8.453,9.225,4,1,4,3.309,8.374,9.012,7,1,4,2.169,5.628,6.1,5,1,1,0.919,2.073,2.723,3,1,6,2.018,10.212,11.215,6,1,3,0.81,2.443,2.797,3,1,3,6.726,8.299,8.883,3,1,4,0.609,3.993,4.507,5,1,3,0.323,2.486,3.078,3,1,1,5.148,9.562,10.153,5,1,1,6.012,7.125,7.967,3,1,4,0.759,2.357,2.798,3,1, ,1.863,2.624,3.118,2,1,3,4.805,7.848,8.3,5,1,1,1.206,3.778,4.2,5,1,4,1.885,4.695,5.319,3,1,4,0.688,2.607,2.896,3,1,5,1.171,3.411,4.101,5,1,2,4.051,8.289,9.055,3,1,3,2,4.264,4.741,4,1,1,48,50,20,2,8,5,1,2,2.869,2.869,4.452,1,2,2.958,2.958,3.71,1,1,3.77,4.518,5.167,2,2,3.538,6.856,7.599,5,1,2.375,3.948,4.523,3,3,1,2,2, ,2, ,2,4,1, , , , , , ,3, ,3, ,1, , , , ,1,3,2,5,68,5,4,2,5,3, ,2,2,2,3,2,2,32536,No,10 mins
R_rcjvkgQv5aeMAF3,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,48,2,4,1,1,4,10,3,421495,4,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1,1,4,7.126,8.807,9.449,3,1,6,3.554,5.169,5.929,3,1,4,6.554,9.2,10.067,4,1,1,7.067,9.334,10.028,5,1,2,6.954,8.645,9.271,4,1,1,8.534,10.484,11.186,4,1,1,3.679,5.064,5.948,3,1,1,2.987,11.587,12.253,4,1,1,3.634,4.635,5.378,3,1,1,3.659,4.822,5.514,3,1,1,3.051,3.883,4.822,2,1,3,4.205,5.769,6.555,3,1,5,2.625,4.089,4.809,3,1,5,4.179,5.424,6.063,3,1,4,6.965,9.947,10.866,5,1,1,3.425,4.341,5.032,3,1,1,5.18,6.43,7.191,3,1,1,3.511,4.761,5.455,3,1,3,3.087,4.637,5.34,3,1,2,4.448,5.834,6.621,3,1,1,8,50,20,1,7,3,1,2,3.157,3.157,4.463,1,1,2.594,2.594,3.638,1,3,4.888,4.888,5.917,1,1,6.717,6.717,8.558,1,5,7.427,7.427,9.085,1,4,1,2,2,48,2, ,4,3,1, , , , , , ,2, ,5, , , , ,1, ,4,4,2,6,97,7,7,1,5, ,7,2,2,2,4,4,2,76705,No,10 minutes
R_33DcFJ5xcbb21gQ,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,26,2,19,1,1,7,7,4,913939,3,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,6.146,7.394,8.166,2, , , , , , , , , , , , , , , , , , ,6,1, ,1,1,1.312,1.312,2.392,1,1,1,1.061,3.174,4.48,2,1,1,0.822,0.822,1.465,1,1,1,1.168,1.168,1.761,1,1,1,1.192,1.192,1.698,1,1,1,1.642,2.05,2.556,2,1,1,1.77,3.073,3.75,2,1,1,1.068,1.396,1.996,2,1,1,1.223,1.223,2.304,1,1,1,0.858,0.858,1.484,1,1, ,1.012,2.267,2.997,2,1,1,0.935,0.935,1.967,1,1,1,1.364,1.364,2.503,1,1,1,3.708,3.708,4.428,1,1,1,0.752,0.752,1.977,1,1,1,1.197,1.197,1.796,1,1,1,1.139,1.139,1.934,1,1,1,1.001,1.001,1.641,1,1,1,2.203,2.203,3.107,1,1,1,1.159,1.159,1.808,1,1,1,8,50,20,2,7,3,1,2,5.308,5.308,5.95,1,3,3.135,3.135,3.732,1,1,4.285,4.285,5.256,1,1,5.143,5.143,5.683,1,1,1.538,1.538,2.097,1,0,1,2,2,26,2, ,6,11,1, , , , , , ,4,can't vote,4, , ,1,1, , ,3,3,4,5,22,4,1,2,5, ,4,2,2,2,2,4,3,59102,no,15 minutes
R_3JenUmhBT6nV9QS,Default Response Set,Anonymous, , ,0,5/1/2019,5/1/2019,1,41,2,15,15,2,7,2,4,649391,2,2,1,1,1,1, ,1, , , , , , ,1,1,11.792,16.693,17.215,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, ,1,3,14.916,18.498,19.292,6,1,3,6.743,11.41,12.013,6,1,1,1.815,2.205,2.813,2,1,3,3.613,4.747,5.352,3,1,1,4.201,4.719,5.334,2,1,1,1.101,1.829,2.429,2,1,1,2.256,2.643,4.034,2,1,1,1.059,2.297,2.842,3,1,6,13.863,14.604,15.189,2,1,3,7.529,10.193,10.936,3,1,1,2.936,3.416,4.036,2,1,1,4.413,5.725,6.44,2,1,5,3.89,6.743,7.329,4,1,1,2.523,3.113,3.7,2,1,1,1.768,2.348,2.966,2,1,1,1.353,2.256,2.88,2,1,1,36.946,39.212,39.842,4,1,1,4.147,5.361,5.901,3,1,1,4.195,4.72,5.409,2,1,1,2.072,2.68,3.241,2,1,1,8,50,20,1,7,2,1,3,4.286,4.622,4.861,2,1,5.45,5.45,6.015,1,4,4.32,4.32,4.939,1,1,7.384,8.008,9.435,2,3,6.274,6.274,6.864,1,1,1,1,1,41,2, ,6,9, , ,1, , , , ,1, ,3, , ,1, , , ,3,3,1,1,17,1,1,2,5,4, ,2,2,3,3,3,3,91767, ,10
